Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSly length,TargetWordSly length,PositionSource,PositionTarget,,,Previous source,Next source,Process,TargetOrthography,Translation,Reference,Notes
Patua Macau,teŋ,teɾ,teŋ,teɾ,teŋ,teɾ,1,1,1,1,Final,Final,,,,ter,"be, have",Baxter1990[7-21],
Patua Macau,bɔŋ,ˈbõ,bɔŋ,ˈbõ,bɔŋ,ˈbõ,1,1,1,1,Final,Final,,,,bom,good,Baxter1990[7-21],
Patua Macau,ˈuŋa,ˈumɐ,ˈu.ŋa,ˈu.mɐ,ˈu,ˈu,2,2,1,1,Initial,Initial,,,assimilation,uma,"a, one",Baxter1990[7-21],
Patua Macau,ˈuŋa,ˈumɐ,ˈu.ŋa,ˈu.mɐ,ŋa,mɐ,2,2,2,2,Final,Final,,,,uma,"a, one",Baxter1990[7-21],
Patua Macau,algoˈdaŋ,aɫɡuˈdɐ̃w̃,al.go.ˈdaŋ,aɫ.ɡu.ˈdɐ̃w̃,al,aɫ,3,3,1,1,Initial,Initial,,,,algodão,cotton,Baxter1990[7-21],
Patua Macau,algoˈdaŋ,aɫɡuˈdɐ̃w̃,al.go.ˈdaŋ,aɫ.ɡu.ˈdɐ̃w̃,go,ɡu,3,3,2,2,Medial,Medial,,,,algodão,cotton,Baxter1990[7-21],
Patua Macau,algoˈdaŋ,aɫɡuˈdɐ̃w̃,al.go.ˈdaŋ,aɫ.ɡu.ˈdɐ̃w̃,ˈdaŋ,ˈdɐ̃w̃,3,3,3,3,Final,Final,,,,algodão,cotton,Baxter1990[7-21],
Patua Macau,kɔraˈsaŋ,kuɾɐˈsɐ̃w̃,kɔ.ra.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,kɔ,ku,3,3,1,1,Initial,Initial,,,,coração,heart,Baxter1990[7-21],
Patua Macau,kɔraˈsaŋ,kuɾɐˈsɐ̃w̃,kɔ.ra.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,ra,.ɾɐ,3,3,2,2,Medial,Medial,,,,coração,heart,Baxter1990[7-21],
Patua Macau,kɔraˈsaŋ,kuɾɐˈsɐ̃w̃,kɔ.ra.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,ˈsaŋ,ˈsɐ̃w̃,3,3,3,3,Final,Final,,,,coração,heart,Baxter1990[7-21],
Patua Macau,ˈt̠ʃua,ˈʃuvɐ,ˈt̠ʃ.ua,ˈʃu.vɐ,ˈt̠ʃ,ˈʃu,2,2,1,1,Initial,Initial,,,,chuva,rain,Baxter1990[7-21],
Patua Macau,ˈt̠ʃua,ˈʃuvɐ,ˈt̠ʃ.ua,ˈʃu.vɐ,ua,vɐ,2,2,2,2,Final,Final,,,,chuva,rain,Baxter1990[7-21],
Patua Macau,kat̠ʃˈoro,kɐˈʃoʀu,ka.t̠ʃˈo.ro,kɐ.ˈʃo.ʀu,ka,kɐ,3,3,1,1,Initial,Initial,,,,cachorro,dog,Baxter1990[7-21],
Patua Macau,kat̠ʃˈoro,kɐˈʃoʀu,ka.t̠ʃˈo.ro,kɐ.ˈʃo.ʀu,t̠ʃˈo,ˈʃo,3,3,2,2,Medial,Medial,,,,cachorro,dog,Baxter1990[7-21],
Patua Macau,kat̠ʃˈoro,kɐˈʃoʀu,ka.t̠ʃˈo.ro,kɐ.ˈʃo.ʀu,ro,ʀu,3,3,3,3,Final,Final,,,,cachorro,dog,Baxter1990[7-21],
Patua Macau,ˈt̠ʃero,ˈʃɐjru,ˈt̠ʃe.ro,ˈʃɐj.ru,ˈt̠ʃe,ˈʃɐj,2,2,1,1,Initial,Initial,,,,cheiro,smell,Baxter1990[7-21],
Patua Macau,ˈt̠ʃero,ˈʃɐjru,ˈt̠ʃe.ro,ˈʃɐj.ru,ro,ru,2,2,2,2,Final,Final,,,,cheiro,smell,Baxter1990[7-21],
Patua Macau,eˈt̠ʃido,ẽˈʃidu,e.ˈt̠ʃi.do,ẽ.ˈʃi.du,e,ẽ,3,3,1,1,Initial,Initial,,,,enchido,full,Baxter1990[7-21],
Patua Macau,eˈt̠ʃido,ẽˈʃidu,e.ˈt̠ʃi.do,ẽ.ˈʃi.du,ˈt̠ʃi,ˈʃi,3,3,2,2,Medial,Medial,,,,enchido,full,Baxter1990[7-21],
Patua Macau,eˈt̠ʃido,ẽˈʃidu,e.ˈt̠ʃi.do,ẽ.ˈʃi.du,do,du,3,3,3,3,Final,Final,,,,enchido,full,Baxter1990[7-21],
Patua Macau,d̠ʒa,ʒa,d̠ʒa,ʒa,d̠ʒa,ʒa,1,1,1,1,Final,Final,,,,já,already,Baxter1990[7-21],
Patua Macau,ˈd̠ʒente,ˈʒẽtɨ,ˈd̠ʒen.te,ˈʒẽ.tɨ,ˈd̠ʒen,ˈʒẽ,2,2,1,1,Initial,Initial,,,,gente,person,Baxter1990[7-21],
Patua Macau,ˈd̠ʒente,ˈʒẽtɨ,ˈd̠ʒen.te,ˈʒẽ.tɨ,te,tɨ,2,2,2,2,Final,Final,,,,gente,person,Baxter1990[7-21],
Patua Macau,d̠ʒunˈtado,ʒũˈtadu,d̠ʒun.ˈta.do,ʒũ.ˈta.du,d̠ʒun,ʒũ,3,3,1,1,Initial,Initial,,,,juntado,together,Baxter1990[7-21],
Patua Macau,d̠ʒunˈtado,ʒũˈtadu,d̠ʒun.ˈta.do,ʒũ.ˈta.du,ˈta,ˈta,3,3,2,2,Medial,Medial,,,,juntado,together,Baxter1990[7-21],
Patua Macau,d̠ʒunˈtado,ʒũˈtadu,d̠ʒun.ˈta.do,ʒũ.ˈta.du,do,du,3,3,3,3,Final,Final,,,,juntado,together,Baxter1990[7-21],
Patua Macau,ˈpese,ˈpejʃɨ,ˈpe.se,ˈpej.ʃɨ,ˈpe,ˈpej,2,2,1,1,Initial,Initial,,,,peixe,fish,Baxter1990[7-21],
Patua Macau,ˈpese,ˈpejʃɨ,ˈpe.se,ˈpej.ʃɨ,se,ʃɨ,2,2,2,2,Final,Final,,,,peixe,fish,Baxter1990[7-21],
Patua Macau,ˈɔze,ˈoʒ,ˈɔ.ze,ˈo.ʒ,ˈɔ,ˈo,2,2,1,1,Initial,Initial,,,,hoje,today,Baxter1990[7-21],
Patua Macau,ˈɔze,ˈoʒ,ˈɔ.ze,ˈo.ʒ,ze,ʒ,2,2,2,2,Final,Final,,,,hoje,today,Baxter1990[7-21],
Patua Macau,miˈza,miˈʒar,mi.ˈza,mi.ˈʒar,mi,mi,2,2,1,1,Initial,Initial,,,,mijar,urinate,Baxter1990[7-21],
Patua Macau,miˈza,miˈʒar,mi.ˈza,mi.ˈʒar,ˈza,ˈʒar,2,2,2,2,Final,Final,,,,mijar,urinate,Baxter1990[7-21],
Patua Macau,ˈked̠ʒo,ˈkɐjʒu,ˈke.d̠ʒo,ˈkɐj.ʒu,ˈke,ˈkɐj,2,2,1,1,Initial,Initial,,,,queijo,cheese,Baxter1990[7-21],
Patua Macau,ˈked̠ʒo,ˈkɐjʒu,ˈke.d̠ʒo,ˈkɐj.ʒu,d̠ʒo,ʒu,2,2,2,2,Final,Final,,,,queijo,cheese,Baxter1990[7-21],
Patua Macau,ˈsuzu,ˈsuʒu,ˈsu.zu,ˈsu.ʒu,ˈsu,ˈsu,2,2,1,1,Initial,Initial,,,,sujo,dirty,Baxter1990[7-21],
Patua Macau,ˈsuzu,ˈsuʒu,ˈsu.zu,ˈsu.ʒu,zu,ʒu,2,2,2,2,Final,Final,,,,sujo,dirty,Baxter1990[7-21],
Patua Macau,kaˈreta,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,ka,kɐ,3,3,1,1,Initial,Initial,,,,carreta,"car, carriage",Baxter1990[7-21],
Patua Macau,kaˈreta,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,ˈre,ˈʀe,3,3,2,2,Medial,Medial,,,,carreta,"car, carriage",Baxter1990[7-21],
Patua Macau,kaˈreta,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,ta,tɐ,3,3,3,3,Final,Final,,,,carreta,"car, carriage",Baxter1990[7-21],
Patua Macau,ˈfero,ˈfɛʀu,ˈfe.ro,ˈfɛ.ʀu,ˈfe,ˈfɛ,2,2,1,1,Initial,Initial,,,,ferro,iron,Baxter1990[7-21],
Patua Macau,ˈfero,ˈfɛʀu,ˈfe.ro,ˈfɛ.ʀu,ro,ʀu,2,2,2,2,Final,Final,,,,ferro,iron,Baxter1990[7-21],
Patua Macau,baˈriga,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,ba,bɐ,3,3,1,1,Initial,Initial,,,,barriga,belly,Baxter1990[7-21],
Patua Macau,baˈriga,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,ˈri,ˈʀi,3,3,2,2,Medial,Medial,,,,barriga,belly,Baxter1990[7-21],
Patua Macau,baˈriga,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,ga,gɐ,3,3,3,3,Final,Final,,,,barriga,belly,Baxter1990[7-21],
Patua Macau,ˈtro,ˈotru,ˈtro,ˈo.tɾu,ˈtro,ˈo(w),1,2,1,1,Final,Initial,,,,outro,other,Baxter1990[7-21],
Patua Macau,ˈtro,ˈotru,ˈtro,ˈo.tɾu,-,tru,1,2,-,2,-,Final,,,,outro,other,Baxter1990[7-21],
Patua Macau,ˈkjansa,kɾiˈɐ̃sɐ,ˈkjan.sa,kɾi.ˈɐ̃.sɐ,ˈkjan,kɾi,2,3,1,1,Initial,Initial,,,metathesis,criança,child,Baxter1990[7-21],
Patua Macau,ˈkjansa,kɾiˈɐ̃sɐ,ˈkjan.sa,kɾi.ˈɐ̃.sɐ,-,ˈɐ̃,2,3,-,2,-,Medial,,,,criança,child,Baxter1990[7-21],
Patua Macau,ˈkjansa,kɾiˈɐ̃sɐ,ˈkjan.sa,kɾi.ˈɐ̃.sɐ,sa,sɐ,2,3,2,3,Final,Final,,,,criança,child,Baxter1990[7-21],
Patua Macau,ˈvaka,ˈvakɐ,ˈva.ka,ˈva.kɐ,ˈva,ˈva,2,2,1,1,Initial,Initial,,,,vaca,bovine,Baxter1990[7-21],
Patua Macau,ˈvaka,ˈvakɐ,ˈva.ka,ˈva.kɐ,ka,kɐ,2,2,2,2,Final,Final,,,,vaca,bovine,Baxter1990[7-21],
Patua Macau,uvˈi,o(w)ˈvir,u.vˈi,o(w).ˈvir,u,o(w),2,2,1,1,Initial,Initial,,,,ouvir,hear,Baxter1990[7-21],
Patua Macau,uvˈi,o(w)ˈvir,u.vˈi,o(w).ˈvir,vˈi,ˈvir,2,2,2,2,Final,Final,,,,ouvir,hear,Baxter1990[7-21],
Patua Macau,ˈɔvu,ˈovu,ˈɔ.vu,ˈo.vu,ˈɔ,ˈo,2,2,1,1,Initial,Initial,,,,ovo,egg,Baxter1990[7-21],
Patua Macau,ˈɔvu,ˈovu,ˈɔ.vu,ˈo.vu,vu,vu,2,2,2,2,Final,Final,,,,ovo,egg,Baxter1990[7-21],
Patua Macau,ˈnɔvo,ˈnovu,ˈnɔ.vo,ˈno.vu,ˈnɔ,ˈno,2,2,1,1,Initial,Initial,,,,novo,new,Baxter1990[7-21],
Patua Macau,ˈnɔvo,ˈnovu,ˈnɔ.vo,ˈno.vu,vo,vu,2,2,2,2,Final,Final,,,,novo,new,Baxter1990[7-21],
Patua Macau,aˈzete,ɐˈzɐjtɨ,a.ˈze.te,ɐ.ˈzɐj.tɨ,a,ɐ,3,3,1,1,Initial,Initial,,,,azeite,oil,Baxter1990[7-21],
Patua Macau,aˈzete,ɐˈzɐjtɨ,a.ˈze.te,ɐ.ˈzɐj.tɨ,ˈze,ˈzɐj,3,3,2,2,Medial,Medial,,,,azeite,oil,Baxter1990[7-21],
Patua Macau,aˈzete,ɐˈzɐjtɨ,a.ˈze.te,ɐ.ˈzɐj.tɨ,te,tɨ,3,3,3,3,Final,Final,,,,azeite,oil,Baxter1990[7-21],
Patua Macau,ˈbeso,ˈbɐjsu,ˈbe.so,ˈbɐj.su,ˈbe,ˈbɐj,2,2,1,1,Initial,Initial,,,,beiço,lip,Baxter1990[7-21],
Patua Macau,ˈbeso,ˈbɐjsu,ˈbe.so,ˈbɐj.su,so,su,2,2,2,2,Final,Final,,,,beiço,lip,Baxter1990[7-21],
Patua Macau,ˈpeto,ˈpejtu,ˈpe.to,ˈpej.tu,ˈpe,ˈpej,2,2,1,1,Initial,Initial,,,,peito,breast,Baxter1990[7-21],
Patua Macau,ˈpeto,ˈpejtu,ˈpe.to,ˈpej.tu,to,tu,2,2,2,2,Final,Final,,,,peito,breast,Baxter1990[7-21],
Patua Macau,ˈlεte,ˈlɐjtɨ,ˈlε.te,ˈlɐj.tɨ,ˈlε,ˈlɐj,2,2,1,1,Initial,Initial,,,,leite,milk,Baxter1990[7-21],
Patua Macau,ˈlεte,ˈlɐjtɨ,ˈlε.te,ˈlɐj.tɨ,te,tɨ,2,2,2,2,Final,Final,,,,leite,milk,Baxter1990[7-21],
Patua Macau,muˈler,muˈʎɛr,mu.ˈler,mu.ˈʎɛr,mu,mu,2,2,1,1,Initial,Initial,,,,mulher,"woman, wife",Baxter1990[7-21],
Patua Macau,muˈler,muˈʎɛr,mu.ˈler,mu.ˈʎɛr,ˈler,ˈʎɛr,2,2,2,2,Final,Final,,,,mulher,"woman, wife",Baxter1990[7-21],
Patua Macau,ˈɔlu,ˈoʎu,ˈɔ.lu,ˈo.ʎu,ˈɔ,ˈo,2,2,1,1,Initial,Initial,,,,olho,eye,Baxter1990[7-21],
Patua Macau,ˈɔlu,ˈoʎu,ˈɔ.lu,ˈo.ʎu,lu,ʎu,2,2,2,2,Final,Final,,,,olho,eye,Baxter1990[7-21],
Patua Macau,ˈdali,ˈdaʎɨ,ˈda.li,ˈda.ʎɨ,ˈda,ˈda,2,2,1,1,Initial,Initial,,,,dá-lhe,strike,Baxter1990[7-21],
Patua Macau,ˈdali,ˈdaʎɨ,ˈda.li,ˈda.ʎɨ,li,ʎɨ,2,2,2,2,Final,Final,,,,dá-lhe,strike,Baxter1990[7-21],
Patua Macau,oˈla,ɔˈʎar,o.ˈla,ɔ.ˈʎar,o,ɔ,2,2,1,1,Initial,Initial,,,,olhar,"look, see",Baxter1990[7-21],
Patua Macau,oˈla,ɔˈʎar,o.ˈla,ɔ.ˈʎar,ˈla,ˈʎar,2,2,2,2,Final,Final,,,,alho,garlic,Baxter1990[7-21],
Patua Macau,ˈalo,ˈa.ʎu,ˈa.lo,ˈa.ʎu,ˈa,ˈa,2,1,1,1,Initial,Final,,,,eu,I,Baxter1990[7-21],
Patua Macau,ˈalo,ˈa.ʎu,ˈa.lo,ˈa.ʎu,lo,ʎu,2,1,2,2,Final,Medial,,,,você,thou,Baxter1990[7-21],
Patua Macau,jo,ˈew,jo,ˈew,jo,ˈew,1,1,1,1,Final,Final,,,,ele,he,Baxter1990[7-21],
Patua Macau,vɔs,vuˈse,vɔs,vu.ˈse,vɔs,vu,1,2,1,1,Final,Initial,,,,nós,we,Baxter1990[7-21],
Patua Macau,vɔs,vuˈse,vɔs,vu.ˈse,-,ˈse,1,2,-,2,-,Final,,,,vós,you,Baxter1990[7-21],
Patua Macau,ˈele,ˈelɨ,ˈe.le,ˈe.lɨ,ˈe,ˈe,2,2,1,1,Initial,Initial,,,,eles,they,Baxter1990[7-21],
Patua Macau,ˈele,ˈelɨ,ˈe.le,ˈe.lɨ,le,lɨ,2,2,2,2,Final,Final,,,,nunca,no,Baxter1990[7-21],
Patua Macau,nos,ˈnɔʃ,nos,ˈnɔʃ,nos,ˈnɔʃ,1,1,1,1,Final,Final,,,,não tem,not have,Baxter1990[7-21],
Patua Macau,vos,ˈvɔʃ,vos,ˈvɔʃ,vos,ˈvɔʃ,1,1,1,1,Final,Final,,,,não pode,cannot,Baxter1990[7-21],
Patua Macau,iˈlotro,ˈelɨʃ,i.ˈlo.tro,ˈe.ɫɨʃ,i,ˈe,3,2,1,1,Initial,Initial,,,,puxa bafo,breathe,Baxter1990[7-21],
Patua Macau,iˈlotro,ˈelɨʃ,i.ˈlo.tro,ˈe.ɫɨʃ,ˈlo,-,3,2,2,-,Medial,-,,,,vem,come,Baxter1990[7-21],
Patua Macau,iˈlotro,ˈelɨʃ,i.ˈlo.tro,ˈe.ɫɨʃ,tro,ɫɨʃ,3,2,3,2,Final,Final,,,,vai,go,Baxter1990[7-21],
Patua Macau,nunca,ˈnũkɐ,nun.ca,ˈnũ.kɐ,nun,ˈnũ,2,2,1,1,Initial,Initial,,,,fazer,do,Baxter1990[7-21],
Patua Macau,nunca,ˈnũkɐ,nun.ca,ˈnũ.kɐ,ca,kɐ,2,2,2,2,Final,Final,,,,poder,can,Baxter1990[7-21],
Patua Macau,numtêm,ˈnɐ̃w̃ˈtãj̃,num.têm,ˈnɐ̃w̃.ˈtãj̃,num,ˈnɐ̃w̃,2,2,1,1,Initial,Initial,,,,acender,ignite,Baxter1990[7-21],
Patua Macau,numtêm,ˈnɐ̃w̃ˈtãj̃,num.têm,ˈnɐ̃w̃.ˈtãj̃,têm,tɐj̃,2,2,2,2,Final,Final,,,,amarrar,tie,Baxter1990[7-21],
Patua Macau,nompôdi,ˈnɐ̃w̃ˈpɔdɨ,nom.pô.di,ˈnɐ̃w̃.ˈpɔ.dɨ,nom,ˈnɐ̃w,3,3,1,1,Initial,Initial,,,,apagar,extinguish,Baxter1990[7-21],
Patua Macau,nompôdi,ˈnɐ̃w̃ˈpɔdɨ,nom.pô.di,ˈnɐ̃w̃.ˈpɔ.dɨ,pô,ˈpo,3,3,2,2,Medial,Medial,,,,aprender,"learn, teach",Baxter1990[7-21],
Patua Macau,nompôdi,ˈnɐ̃w̃ˈpɔdɨ,nom.pô.di,ˈnɐ̃w̃.ˈpɔ.dɨ,di,dɨ,3,3,3,3,Final,Final,,,,botar,put,Baxter1990[7-21],
Patua Macau,puˈsabaˈfado,ˈpuʃɐˈbafu,pu.ˈsa.ba.ˈfa.do,ˈpu.ʃɐˈba.fu,pu,ˈpu,5,3,1,1,Initial,Initial,,,,sair,leave,Baxter1990[7-21],
Patua Macau,puˈsabaˈfado,ˈpuʃɐˈbafu,pu.ˈsa.ba.ˈfa.do,ˈpu.ʃɐˈba.fu,ˈsa,ʃɐ,5,3,2,2,Medial,Medial,,,,rir,laugh,Baxter1990[7-21],
Patua Macau,puˈsabaˈfado,ˈpuʃɐˈbafu,pu.ˈsa.ba.ˈfa.do,ˈpu.ʃɐˈba.fu,ba,-,5,3,3,-,Medial,-,,,,comer,eat,Baxter1990[7-21],
Patua Macau,puˈsabaˈfado,ˈpuʃɐˈbafu,pu.ˈsa.ba.ˈfa.do,ˈpu.ʃɐˈba.fu,ˈfa,ˈba,5,3,4,3,Medial,Final,,,,chegar,arrive,Baxter1990[7-21],
,puˈsabaˈfado,ˈpuʃɐ ˈbafu,pu.ˈsa.ba.ˈfa.do,ˈpu.ʃɐ ˈba.fu,do,fu,5,3,5,4,Final,Medial,,,,,,,
,vɛ̃,ˈvɐ̃j̃,vɛ̃,ˈvɐ̃j̃,vɛ̃,ˈvɐ̃j̃,1,1,1,1,Final,Final,,,,,,,
,vai,vaj,vai,vaj,vai,vaj,1,1,1,1,Final,Final,,,,,,,
,faˈze,fɐˈzeɾ,fa.ˈze,fɐ.ˈzeɾ,fa,fɐ,2,2,1,1,Initial,Initial,,,,,,,
,faˈze,fɐˈzeɾ,fa.ˈze,fɐ.ˈzeɾ,ˈze,ˈzeɾ,2,2,2,2,Final,Final,,,,,,,
,poˈde,puˈder,po.ˈde,pu.ˈder,po,pu,2,2,1,1,Initial,Initial,,,,,,,
,poˈde,puˈder,po.ˈde,pu.ˈder,ˈde,ˈder,2,2,2,2,Final,Final,,,,,,,
,sanˈde,ɐsẽˈder,san.ˈde,ɐ.sẽ.ˈder,san,ɐ,2,3,1,1,Initial,Initial,,,,,,,
,sanˈde,ɐsẽˈder,san.ˈde,ɐ.sẽ.ˈder,-,sẽ,2,3,-,2,-,Medial,,,,,,,
,sanˈde,ɐsẽˈder,san.ˈde,ɐ.sẽ.ˈder,ˈde,ˈder,2,3,2,3,Final,Final,,,,,,,
,maˈra,ɐmɐˈʀar,ma.ˈra,ɐ.mɐ.ˈʀar,ma,ɐ,2,3,1,1,Initial,Initial,,,,,,,
,maˈra,ɐmɐˈʀar,ma.ˈra,ɐ.mɐ.ˈʀar,-,mɐ,2,3,-,2,-,Medial,,,,,,,
,maˈra,ɐmɐˈʀar,ma.ˈra,ɐ.mɐ.ˈʀar,ˈra,ˈʀar,2,3,2,3,Final,Final,,,,,,,
,paˈga,ɐpɐˈɡar,pa.ˈga,ɐ.pɐ.ˈɡar,pa,ɐ,2,3,1,1,Initial,Initial,,,,,,,
,paˈga,ɐpɐˈɡar,pa.ˈga,ɐ.pɐ.ˈɡar,-,pɐ,2,3,-,2,-,Medial,,,,,,,
,paˈga,ɐpɐˈɡar,pa.ˈga,ɐ.pɐ.ˈɡar,ˈga,ˈɡar,2,3,2,3,Final,Final,,,,,,,
,aprenˈde,ɐprẽˈder,a.pren.ˈde,ɐ.prẽ.ˈder,a,ɐ,3,3,1,1,Initial,Initial,,,,,,,
,aprenˈde,ɐprẽˈder,a.pren.ˈde,ɐ.prẽ.ˈder,pren,prẽ,3,3,2,2,Medial,Medial,,,,,,,
,aprenˈde,ɐprẽˈder,a.pren.ˈde,ɐ.prẽ.ˈder,ˈde,ˈder,3,3,3,3,Final,Final,,,,,,,
,boˈta,buˈtar,boˈta,bu.ˈtar,bo,ˈbu,1,2,1,1,Final,Initial,,,,,,,
,boˈta,buˈtar,boˈta,bu.ˈtar,ˈta,ˈtar,1,2,2,2,Medial,Final,,,,,,,
,sai,sɐˈiɾ,sai,sɐ.ˈiɾ,sai,sɐ,1,2,1,1,Final,Initial,,,,,,,
,sai,sɐˈiɾ,sai,sɐ.ˈiɾ,-,ˈiɾ,1,2,-,2,-,Final,,,,,,,
,ri,ˈʀir,ri,ˈʀir,ri,ˈʀir,1,1,1,1,Final,Final,,,,,,,
,koˈme,kuˈmeɾ,ko.ˈme,ku.ˈmeɾ,ko,ku,2,2,1,1,Initial,Initial,,,,,,,
,koˈme,kuˈmeɾ,ko.ˈme,ku.ˈmeɾ,ˈme,ˈmeɾ,2,2,2,2,Final,Final,,,,,,,
,t̠ʃeˈga,ʃɨˈɡaɾ,t̠ʃe.ˈga,ʃɨ.ˈɡaɾ,t̠ʃe,ʃɨ,2,2,1,1,Initial,Initial,,,,,,,
,t̠ʃeˈga,ʃɨˈɡaɾ,t̠ʃe.ˈga,ʃɨ.ˈɡaɾ,ˈga,ˈɡaɾ,2,2,2,2,Final,Final,,,,,,,
