Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Casamancese,bo,vuˈse,bo,vu.ˈse,bo,vu,1,1,,você,"thou, you",Biagui2012[129],
Casamancese,bo,vuˈse,bo,vu.ˈse,-,ˈse,-,2,,você,"thou, you",Biagui2012[129],
Casamancese,jel,ˈeɫɨ,jel,ˈe.ɫɨ,jel,ˈe,1,1,,ele,he,Biagui2012[129],
Casamancese,jel,ˈeɫɨ,jel,ˈe.ɫɨ,,ɫɨ,-,2,,ele,he,Biagui2012[129],
Casamancese,nos,ˈnɔʃ,nos,ˈnɔʃ,nos,ˈnɔʃ,1,1,,nós,we,Biagui2012[129],
Casamancese,bos,vuˈseʃ,bos,vu.ˈseʃ,bos,vu,1,1,,vocês,"ye, you",Biagui2012[129],
Casamancese,bos,vuˈseʃ,bos,vu.ˈseʃ,-,ˈseʃ,-,2,,vocês,"ye, you",Biagui2012[129],
Casamancese,ˈjelus,ˈeɫɨʃ,ˈje.lus,ˈe.ɫɨʃ,ˈje,ˈe,1,1,,eles,they,Biagui2012[129],
Casamancese,ˈjelus,ˈeɫɨʃ,ˈje.lus,ˈe.ɫɨʃ,lus,ɫɨʃ,2,2,,eles,they,Biagui2012[129],
Casamancese,li,ɐˈki,li,ɐ.ˈki,li,ɐ,1,1,,aqui,here,Biagui2012[258],
Casamancese,li,ɐˈki,li,ɐ.ˈki,-,ˈki,-,2,,aqui,here,Biagui2012[258],
Casamancese,la,ˈɫa,la,ˈɫa,la,ˈɫa,1,1,,lá,there,Biagui2012[258],
Casamancese,ki,kɐ̃j,ki,kɐ̃j,ki,kɐ̃j,1,1,,quem,who,Biagui2012[29],
Casamancese,(w)o'ca,ˈkwɐ̃du,(w)o.'ca,ˈkwɐ̃.du,,,,,,quando,when,Biagui2012[276],Not portuguese origin
Casamancese,ku'ma,ˈkomu,ku.'ma,ˈko.mu,ku,ˈko,1,1,,como,how,Biagui2012[287],
Casamancese,ku'ma,ˈkomu,ku.'ma,ˈko.mu,ˈma,mu,2,2,,como,how,Biagui2012[287],
Casamancese,ˈtudu,ˈtudu,ˈtu.du,ˈtu.du,ˈtu,ˈtu,1,1,,tudo,all,Biagui2012[151],
Casamancese,ˈtudu,ˈtudu,ˈtu.du,ˈtu.du,du,du,2,2,,tudo,all,Biagui2012[151],
Casamancese,ˈtantu,ˈtɐ̃tu,ˈta.ntu,ˈtɐ̃.tu,ˈta.ntu,ˈtɐ̃.tu,1,1,,algum,some,Biagui2012[356],
Casamancese,ˈtantu,ˈtɐ̃tu,ˈta.ntu,ˈtɐ̃.tu,ˈta.ntu,ˈtɐ̃.tu,2,2,,algum,some,Biagui2012[356],
Casamancese,mboˈkadu,buˈkadu,mbo.ˈka.du,bu.ˈka.du,mbo,bu,1,1,,"bocado, pouco",few,Biagui2012[117],
Casamancese,mboˈkadu,buˈkadu,mbo.ˈka.du,bu.ˈka.du,ˈka,ˈka,2,2,,"bocado, pouco",few,Biagui2012[117],
Casamancese,mboˈkadu,buˈkadu,mbo.ˈka.du,bu.ˈka.du,du,du,3,3,,"bocado, pouco",few,Biagui2012[117],
Casamancese,ˈwutur,ˈotɾu,ˈwu.tur,ˈo.tɾu,ˈwu,ˈo,1,1,,outro,other,Biagui2012[151],
Casamancese,ˈwutur,ˈotɾu,ˈwu.tur,ˈo.tɾu,tur,tɾu,2,2,,outro,other,Biagui2012[151],
Casamancese,unˈsoɲ,ˈũ,un.ˈsoɲ,ˈũ,ˈũ,un,1,1,,um,one,Biagui2012[239],
Casamancese,unˈsoɲ,ˈũ,un.ˈsoɲ,ˈũ,-,ˈsoɲ,-,2,,um,one,Biagui2012[239],
Casamancese,dos,ˈdojʃ,dos,ˈdojʃ,dos,ˈdojʃ,1,1,,dois,two,Biagui2012[239],
Casamancese,tres,ˈtɾeʃ,tres,ˈtɾeʃ,tres,ˈtɾeʃ,1,1,,três,three,Biagui2012[239],
Casamancese,ˈkwatur,ˈkwatɾu,ˈkwa.tur,ˈkwa.tɾu,ˈkwa,ˈkwa,1,1,,quatro,four,Biagui2012[239],
Casamancese,ˈkwatur,ˈkwatɾu,ˈkwa.tur,ˈkwa.tɾu,tur,tru,2,2,,quatro,four,Biagui2012[239],
Casamancese,ˈsiɲku,ˈsĩku,ˈsi.ɲku,ˈsĩ.ku,ˈsi,ˈsĩ,1,1,,cinco,five,Biagui2012[239],
Casamancese,ˈsiɲku,ˈsĩku,ˈsi.ɲku,ˈsĩ.ku,ɲku,ku,2,2,,cinco,five,Biagui2012[239],
Casamancese,gaˈrandi,ˈgɾɐ̃dɨ,ga.ˈra.ndi,ˈgɾɐ̃.dɨ,ga,ˈgɾɐ̃,1,1,,grande,big,Biagui2012[344],
Casamancese,gaˈrandi,ˈgɾɐ̃dɨ,ga.ˈra.ndi,ˈgɾɐ̃.dɨ,ˈra,-,2,-,,grande,big,Biagui2012[344],
Casamancese,gaˈrandi,ˈgɾɐ̃dɨ,ga.ˈra.ndi,ˈgɾɐ̃.dɨ,ndi,dɨ,3,3,,grande,big,Biagui2012[344],
Casamancese,kumˈpridu,kõˈpɾidu,kum.ˈpri.du,kõ.ˈpɾi.du,kum,kõ,1,1,,"comprido, longo",long,Biagui2012[349],
Casamancese,kumˈpridu,kõˈpɾidu,kum.ˈpri.du,kõ.ˈpɾi.du,ˈpri,ˈpɾi,2,2,,"comprido, longo",long,Biagui2012[349],
Casamancese,kumˈpridu,kõˈpɾidu,kum.ˈpri.du,kõ.ˈpɾi.du,du,du,3,3,,"comprido, longo",long,Biagui2012[349],
Casamancese,ˈlargu,ˈɫaɾgu,ˈlar.gu,ˈɫaɾ.gu,ˈlar,ˈɫaɾ,1,1,,"largo, amplo",wide,Biagui2012[353],
Casamancese,ˈlargu,ˈɫaɾgu,ˈlar.gu,ˈɫaɾ.gu,gu,gu,2,2,,"largo, amplo",wide,Biagui2012[353],
Casamancese,ˈgros,ˈgɾosu,ˈgros,ˈgɾo.su,ˈgros,ˈgɾo,1,1,,"grosso, espesso",thick,Biagui2012[40],
Casamancese,ˈgros,ˈgɾosu,ˈgros,ˈgɾo.su,-,su,-,2,,"grosso, espesso",thick,Biagui2012[40],
Casamancese,piˈsadu,pɨˈzadu,pi.ˈsa.du,pɨ.ˈza.du,pi,pɨ,1,1,,pesado,heavy,Biagui2012[339],
Casamancese,piˈsadu,pɨˈzadu,pi.ˈsa.du,pɨ.ˈza.du,ˈsa,ˈza,2,2,,pesado,heavy,Biagui2012[339],
Casamancese,piˈsadu,pɨˈzadu,pi.ˈsa.du,pɨ.ˈza.du,du,du,3,3,,pesado,heavy,Biagui2012[339],
Casamancese,pikiˈninu,pɨˈkenu,pi.ki.ˈni.nu,pɨ.ˈke.nu,pi,pɨ,1,1,,pequeno,small,Biagui2012[345],
Casamancese,pikiˈninu,pɨˈkenu,pi.ki.ˈni.nu,pɨ.ˈke.nu,ki,ˈke,2,2,,pequeno,small,Biagui2012[345],
Casamancese,pikiˈninu,pɨˈkenu,pi.ki.ˈni.nu,pɨ.ˈke.nu,ˈni,-,3,-,,pequeno,small,Biagui2012[345],
Casamancese,pikiˈninu,pɨˈkenu,pi.ki.ˈni.nu,pɨ.ˈke.nu,nu,nu,4,3,,pequeno,small,Biagui2012[345],
Casamancese,ˈkurtu,ˈkuɾtu,ˈkur.tu,ˈkuɾ.tu,ˈkuɾ,ˈkuɾ,1,1,,curto,short,Biagui2012[207],
Casamancese,ˈkurtu,ˈkuɾtu,ˈkur.tu,ˈkuɾ.tu,tu,tu,2,2,,curto,short,Biagui2012[207],
Casamancese,ˈmágur,ˈmagɾu,ˈmá.gur,ˈma.gɾu,ˈmá,ˈma,1,1,,magro,thin,Biagui2012[349],
Casamancese,ˈmágur,ˈmagɾu,ˈmá.gur,ˈma.gɾu,gur,gɾu,2,2,,magro,thin,Biagui2012[349],
Casamancese,miˈɲɟer,muˈʎeɾ,mi.ˈɲɟer,mu.ˈʎeɾ,mi,mu,1,1,,mulher,woman,Biagui2012[83],
Casamancese,miˈɲɟer,muˈʎeɾ,mi.ˈɲɟer,mu.ˈʎeɾ,ˈɲɟer,ˈʎeɾ,2,2,,mulher,woman,Biagui2012[83],
Casamancese,ˈwomi,ˈomɐ̃j,ˈwo.mi,ˈo.mɐ̃j,ˈwo,ˈo,1,1,,homem,man,Biagui2012[20],
Casamancese,ˈwomi,ˈomɐ̃j,ˈwo.mi,ˈo.mɐ̃j,mi,mɐ̃j,2,2,,homem,man,Biagui2012[20],
Casamancese,miˈɲɟer,muˈʎeɾ,mi.ˈɲɟer,mu.ˈʎeɾ,mi,mu,1,1,,mulher,woman,Biagui2012[83],
Casamancese,miˈɲɟer,muˈʎeɾ,mi.ˈɲɟer,mu.ˈʎeɾ,ˈɲɟer,ˈʎeɾ,2,2,,mulher,woman,Biagui2012[83],
Casamancese,maj,ˈmɐ̃j,maj,ˈmɐ̃j,maj,ˈmɐ̃j,1,1,,mãe,mother,Biagui2012[83],
Casamancese,paˈpɛ,ˈpaj,pa.ˈpɛ,ˈpaj,pa,ˈpaj,1,1,,pai,father,Biagui2012[83],
Casamancese,paˈpɛ,ˈpaj,pa.ˈpɛ,ˈpaj,ˈpɛ,-,-,2,,pai,father,Biagui2012[83],
Casamancese,pis,ˈpɐjʃɨ,pis,ˈpɐj.ʃɨ,pis,ˈpɐj,1,1,,peixe,fish,Biagui2012[134],
Casamancese,pis,ˈpɐjʃɨ,pis,ˈpɐj.ʃɨ,-,ʃɨ,-,2,,peixe,fish,Biagui2012[134],
Casamancese,ˈpastur,ˈpasɐɾu,ˈpas.tur,ˈpa.sɐ.ɾu,ˈpas,ˈpa,1,1,,pássaro,bird,Biagui2012[28],
Casamancese,ˈpastur,ˈpasɐɾu,ˈpas.tur,ˈpa.sɐ.ɾu,-,sɐ,-,2,,pássaro,bird,Biagui2012[28],
Casamancese,ˈpastur,ˈpasɐru,ˈpas.tur,ˈpa.sɐ.ɾu,tur,ɾu,3,3,,pássaro,bird,Biagui2012[28],
Casamancese,kaˈcor,kɐˈʃoʁu,ka.ˈcor,kɐ.ˈʃo.ʁu,ka,kɐ,1,1,,"cachorro, cão",dog,Biagui2012[33],
Casamancese,kaˈcor,kɐˈʃoʁu,ka.ˈcor,kɐ.ˈʃo.ʁu,ˈcor,ˈʃo,2,2,,"cachorro, cão",dog,Biagui2012[33],
Casamancese,kaˈcor,kɐˈʃoʁu,ka.ˈcor,kɐ.ˈʃo.ʁu,-,ʁu,-,3,,"cachorro, cão",dog,Biagui2012[33],
Casamancese,ˈkobɾa,ˈkobɾɐ,ˈko.bɾa,ˈko.bɾɐ,ˈko,ˈko,1,1,,"cobra, serpente",snake,Biagui2012[165],
Casamancese,ˈkobɾa,ˈkobɾɐ,ˈko.bɾa,ˈko.bɾɐ,bɾa,bɾɐ,2,2,,"cobra, serpente",snake,Biagui2012[165],
Casamancese,ˈfruta,ˈfɾutɐ,ˈfru.ta,ˈfɾu.tɐ,ˈfru,ˈfɾu,1,1,,fruta,fruit,Biagui2012[23],
Casamancese,ˈfruta,ˈfɾutɐ,ˈfru.ta,ˈfɾu.tɐ,ta,tɐ,2,2,,fruta,fruit,Biagui2012[23],
Casamancese,gaˈrã,ˈgɾɐ̃w,ga.ˈrã,ˈgɾɐ̃w,ga,ˈgɾɐ̃w,1,1,,"grão, semente",seed,Biagui2012[88],
Casamancese,gaˈrã,ˈgɾɐ̃w,ga.ˈrã,ˈgɾɐ̃w,ˈrã,-,2,-,,"grão, semente",seed,Biagui2012[88],
Casamancese,ˈflor,ˈfɫoɾ,ˈflor,ˈfɫoɾ,ˈflor,ˈfɫoɾ,1,1,,flor,flower,Biagui2012[40],
Casamancese,ˈkorda,ˈkoɾdɐ,ˈkor.da,ˈkoɾ.dɐ,ˈkor,ˈkoɾ,1,1,,corda,rope,Biagui2012[20],
Casamancese,ˈkorda,ˈkoɾdɐ,ˈkor.da,ˈkoɾ.dɐ,da,dɐ,2,2,,corda,rope,Biagui2012[20],
Casamancese,ˈkarna,ˈkaɾnɨ,ˈkar.na,ˈkaɾ.nɨ,ˈkar,ˈkaɾ,1,1,,carne,meat,Biagui2012[107],
Casamancese,ˈkarna,ˈkaɾnɨ,ˈkar.na,ˈkaɾ.nɨ,na,nɨ,2,2,,carne,meat,Biagui2012[107],
Casamancese,ˈcifur,ˈʃifɾɨ,ˈci.fur,ˈʃi.fɾɨ,ˈci,ˈʃi,1,1,,"chifre, corno",horn,Biagui2012[54],
Casamancese,ˈcifur,ˈʃifɾɨ,ˈci.fur,ˈʃi.fɾɨ,fur,fɾɨ,2,2,,"chifre, corno",horn,Biagui2012[54],
Casamancese,ˈrabu,ˈʁabu,ˈrabu,ˈʁa.bu,ˈra,ˈʁa,1,1,,"rabo, cauda",tail,Biagui2012[315],
Casamancese,ˈrabu,ˈʁabu,ˈrabu,ˈʁa.bu,bu,bu,2,2,,"rabo, cauda",tail,Biagui2012[315],
Casamancese,kaˈbelu,kɐˈbeɫu,ka.ˈbe.lu,kɐ.ˈbe.ɫu,ka,kɐ,1,1,,"cabelo, pêlo",hair,Biagui2012[33],
Casamancese,kaˈbelu,kɐˈbeɫu,ka.ˈbe.lu,kɐ.ˈbe.ɫu,ˈbe,ˈbe,2,2,,"cabelo, pêlo",hair,Biagui2012[33],
Casamancese,kaˈbelu,kɐˈbeɫu,ka.ˈbe.lu,kɐ.ˈbe.ɫu,lu,ɫu,3,3,,"cabelo, pêlo",hair,Biagui2012[33],
Casamancese,woˈreɟa,oˈɾɐʎɐ,wo.ˈre.ɟa,o.ˈɾɐ.ʎɐ,wo,o,1,1,,orelha,ear,Biagui2012[106],
Casamancese,woˈreɟa,oˈɾɐʎɐ,wo.ˈre.ɟa,o.ˈɾɐ.ʎɐ,ˈre,ˈɾɐ,2,2,,orelha,ear,Biagui2012[106],
Casamancese,woˈreɟa,oˈɾɐʎɐ,wo.ˈre.ɟa,o.ˈɾɐ.ʎɐ,ɟa,ʎɐ,3,3,,orelha,ear,Biagui2012[106],
Casamancese,naˈris,nɐˈɾiʃ,na.ˈris,nɐ.ˈɾiʃ,na,nɐ,1,1,,nariz,nose,Biagui2012[16],
Casamancese,naˈris,nɐˈɾiʃ,na.ˈris,nɐ.ˈɾiʃ,ˈris,ˈɾiʃ,2,2,,nariz,nose,Biagui2012[16],
Casamancese,ˈboka,ˈbokɐ,ˈbo.ka,ˈbo.kɐ,ˈbo,ˈbo,1,1,,boca,mouth,Biagui2012[16],
Casamancese,ˈboka,ˈbokɐ,ˈbo.ka,ˈbo.kɐ,ka,kɐ,2,2,,boca,mouth,Biagui2012[16],
Casamancese,ˈdinti,ˈdẽtɨ,ˈdi.nti,ˈdẽ.tɨ,ˈdi,ˈdẽ.tɨ,1,1,,dente,tooth,Biagui2012[32],
Casamancese,ˈdinti,ˈdẽtɨ,ˈdi.nti,ˈdẽ.tɨ,nti,ˈdẽ.tɨ,2,2,,dente,tooth,Biagui2012[32],
Casamancese,liɲgu,ˈɫĩgwɐ,li.ɲgu,ˈɫĩ.gwɐ,li,ˈɫĩ,1,1,,língua,tongue,Biagui2012[181],
Casamancese,liɲgu,ˈɫĩgwɐ,li.ɲgu,ˈɫĩ.gwɐ,ɲgu,gwɐ,2,2,,língua,tongue,Biagui2012[181],
Casamancese,ˈɲuɲa,ˈuɲɐ,ˈɲu.ɲa,ˈu.ɲɐ,ˈɲu,ˈu,1,1,,unha,fingernail,Biagui2012[62],
Casamancese,ˈɲuɲa,ˈuɲɐ,ˈɲu.ɲa,ˈu.ɲɐ,ɲa,ɲɐ,2,2,,unha,fingernail,Biagui2012[62],
Casamancese,ˈãsa,ˈazɐ,ˈã.sa,ˈa.zɐ,ˈã,ˈa,1,1,,asa,wing,Biagui2012[45],
Casamancese,ˈãsa,ˈazɐ,ˈã.sa,ˈa.zɐ,sa,zɐ,2,2,,asa,wing,Biagui2012[45],
Casamancese,baˈriga,baˈʁigɐ,ba.ˈri.ga,ba.ˈʁi.gɐ,ba,ba,1,1,,"barriga, ventre",belly,Biagui2012[20],
Casamancese,baˈriga,baˈʁigɐ,ba.ˈri.ga,ba.ˈʁi.gɐ,ˈri,ˈʁi,2,2,,"barriga, ventre",belly,Biagui2012[20],
Casamancese,baˈriga,baˈʁigɐ,ba.ˈri.ga,ba.ˈʁi.gɐ,ga,gɐ,3,3,,"barriga, ventre",belly,Biagui2012[20],
Casamancese,ˈkosta,ˈkoʃtɐʃ,ˈkos.ta,ˈkoʃ.tɐʃ,ˈkos,ˈkoʃ,1,1,,"costas, dorso",back,Biagui2012[32],
Casamancese,ˈkosta,ˈkoʃtɐʃ,ˈkos.ta,ˈkoʃ.tɐʃ,ta,tɐʃ,2,2,,"costas, dorso",back,Biagui2012[32],
Casamancese,ˈpitu,ˈpɐjtu,ˈpi.tu,ˈpɐj.tu,ˈpi,ˈpɐj,1,1,,"peito, seio",breast,Biagui2012[33],
Casamancese,ˈpitu,ˈpɐjtu,ˈpi.tu,ˈpɐj.tu,tu,tu,2,2,,"peito, seio",breast,Biagui2012[33],
Casamancese,korˈsõ,kuɾɐˈsɐ̃w,kor.ˈsõ,ku.ɾɐ.ˈsɐ̃w,kor,ku,1,1,,coração,heart,Biagui2012[22],
Casamancese,korˈsõ,kuɾɐˈsɐ̃w,kor.ˈsõ,ku.ɾɐ.ˈsɐ̃w,-,ɾɐ,-,2,,coração,heart,Biagui2012[22],
Casamancese,korˈsõ,kuɾɐˈsɐ̃w,kor.ˈsõ,ku.ɾɐ.ˈsɐ̃w,ˈsõ,ˈsɐ̃w,3,3,,coração,heart,Biagui2012[22],
Casamancese,beˈbe,bɨˈbeɾ,be.ˈbe,bɨ.ˈbeɾ,be,bɨ,1,1,,beber,drink,Biagui2012[99],
Casamancese,beˈbe,bɨˈbeɾ,be.ˈbe,bɨ.ˈbeɾ,ˈbe,ˈbeɾ,2,2,,beber,drink,Biagui2012[99],
Casamancese,kuˈme,kuˈmeɾ,ku.ˈme,ku.ˈmeɾ,ku,ku,1,1,,comer,eat,Biagui2012[99],
Casamancese,kuˈme,kuˈmeɾ,ku.ˈme,ku.ˈmeɾ,ˈme,meɾ,2,2,,comer,eat,Biagui2012[99],
Casamancese,cuˈpa,ʃuˈpaɾ,cu.ˈpa,ʃu.ˈpaɾ,cu,ʃu,1,1,,"chupar, sugar",suck,Biagui2012[156],
Casamancese,cuˈpa,ʃuˈpaɾ,cu.ˈpa,ʃu.ˈpaɾ,ˈpa,ˈpaɾ,2,2,,"chupar, sugar",suck,Biagui2012[156],
Casamancese,suˈpra,suˈpɾaɾ,su.ˈpra,su.ˈpɾaɾ,su,su,1,1,,soprar,blow,Biagui2012[44],
Casamancese,suˈpra,suˈpɾaɾ,su.ˈpra,su.ˈpɾaɾ,ˈpra,ˈpɾaɾ,2,2,,soprar,blow,Biagui2012[44],
Casamancese,seˈbe,sɐˈbeɾ,se.ˈbe,sɐ.ˈbeɾ,se,sɐ,1,1,,saber,know,Biagui2012[186],
Casamancese,seˈbe,sɐˈbeɾ,se.ˈbe,sɐ.ˈbeɾ,ˈbe,ˈbeɾ,2,2,,saber,know,Biagui2012[186],
Casamancese,durˈmi,duɾˈmiɾ,dur.ˈmi,duɾ.ˈmiɾ,dur,duɾ,1,1,,dormir,sleep,Biagui2012[196],
Casamancese,durˈmi,duɾˈmiɾ,dur.ˈmi,duɾ.ˈmiɾ,ˈmi,ˈmiɾ,2,2,,dormir,sleep,Biagui2012[196],
Casamancese,moˈre,muˈʁeɾ,mo.ˈre,mu.ˈʁeɾ,mo,mu,1,1,,morrer,die,Biagui2012[166],
Casamancese,moˈre,muˈʁeɾ,mo.ˈre,mu.ˈʁeɾ,ˈre,ˈʁeɾ,2,2,,morrer,die,Biagui2012[166],
Casamancese,korˈta,kuɾˈtaɾ,kor.ˈta,kuɾ.ˈtaɾ,kor,kuɾ,1,1,,cortar,cut,Biagui2012[12],
Casamancese,korˈta,kuɾˈtaɾ,kor.ˈta,kuɾ.ˈtaɾ,ˈta,ˈtaɾ,2,2,,cortar,cut,Biagui2012[12],
Casamancese,koˈsa,kuˈsaɾ,ko.ˈsa,ku.ˈsaɾ,ko,ku,1,1,,coçar,scratch,Biagui2012[106],
Casamancese,koˈsa,kuˈsaɾ,ko.ˈsa,ku.ˈsaɾ,ˈsa,ˈsaɾ,2,2,,coçar,scratch,Biagui2012[106],
Casamancese,koˈba,kɐˈvaɾ,ko.ˈba,kɐ.ˈvaɾ,ko,kɐ,1,1,,cavar,dig,Biagui2012[13],
Casamancese,koˈba,kɐˈvaɾ,ko.ˈba,kɐ.ˈvaɾ,ˈba,ˈvaɾ,2,2,,cavar,dig,Biagui2012[13],
Casamancese,jeˈnda,ɐ̃ˈdaɾ,je.ˈnda,ɐ̃.ˈdaɾ,je,ɐ̃,1,1,,"andar, caminhar",walk,Biagui2012[13],
Casamancese,jeˈnda,ɐ̃ˈdaɾ,je.ˈnda,ɐ̃.ˈdaɾ,ˈnda,ˈdaɾ,2,2,,"andar, caminhar",walk,Biagui2012[13],
Casamancese,beŋ,vɐ̃j,beŋ,vɐ̃j,beŋ,vɐ̃j,1,1,,vem,come,Biagui2012[158],
Casamancese,foj,mẽˈtiɾ,foj,mẽ.ˈtiɾ,,,,,,mentir,lie,Biagui2012[157],Not portuguese origin
Casamancese,siˈnta,sẽˈtaɾ,si.ˈnta,sẽ.ˈtaɾ,si,sẽ,1,1,,sentar,sit,Biagui2012[202],
Casamancese,siˈnta,sẽˈtaɾ,si.ˈnta,sẽ.ˈtaɾ,ˈnta,ˈtaɾ,2,2,,sentar,sit,Biagui2012[202],
Casamancese,labaˈnta,ɫɨvɐ̃ˈtaɾ,la.ba.ˈnta,ɫɨ.vɐ̃.ˈtaɾ,la,ɫɨ,1,1,,levantar,stand,Biagui2012[202],
Casamancese,labaˈnta,ɫɨvɐ̃ˈtaɾ,la.ba.ˈnta,ɫɨ.vɐ̃.ˈtaɾ,ba,vɐ̃,2,2,,levantar,stand,Biagui2012[202],
