Language,Sri Lanka Portuguese,Smith2013,,,,,,
Area,Southern India,Smith2013,,,,,,
Lexifier,Portuguese,Smith2013,,,,,,
FirstMajorSettlement,1517,Smith2013,,,,,,
EndOfInfluence,1658,Smith2013,,,,,,
ContactConditions,Fort Creole,Smith2013,,,,,,
LanguageContact,"Tamil, Sinhala, Dutch, English",Smith2013,,,,,,
NumberOfLanguages,5,Smith2013,,,,,,
Bilingualism,Yes,Smith2013,,,,,,
Notes,Official languages: Tamil and Sinhala,Smith 2013,,,,,,
,,,,,,,,
,,,,,,,,
Language,Area,Lexifier,FirstMajorSettlement,EndOfInfluence,ContactConditions,NumberOfLanguages,Bilingualism,Notes
Sri Lanka Portuguese,Southern India,Portuguese,1517,1658,Fort Creole,"Tamil, Sinhala, Dutch, English",Yes,Official languages: Tamil and Sinhala